STATION,STATION_NAME,DATE,TPCP,TSNW,MMXT,MMNT
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140401,573,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140501,1308,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140601,425,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140701,1193,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140801,656,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20140901,500,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141001,1581,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141101,1211,139,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20141201,1440,15,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150101,1367,789,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150201,955,875,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150301,575,150,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150401,558,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150501,59,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150601,1797,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150701,797,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150801,1064,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20150901,712,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20151001,994,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20151101,491,0,-9999,-9999
GHCND:US1MAWR0028,BERLIN 1.3 WSW MA US,20151201,1231,36,-9999,-9999
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000101,893,-9999,26,-105
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000201,676,-9999,51,-61
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000301,1157,-9999,115,-10
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000401,1534,-9999,131,28
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000501,835,-9999,203,68
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000601,1456,-9999,254,126
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000701,870,-9999,257,132
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000801,474,-9999,258,129
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20000901,747,-9999,227,82
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20001001,688,-9999,169,29
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20001101,999,-9999,97,0
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20001201,1131,-9999,24,-87
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010101,499,-9999,21,-95
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010201,455,-9999,39,-68
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010301,2375,-9999,52,-31
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010401,355,-9999,151,22
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010501,522,-9999,218,67
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010601,2124,-9999,269,133
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010701,550,-9999,263,122
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010801,1044,-9999,283,160
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20010901,578,-9999,237,91
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20011001,199,-9999,189,19
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20011101,253,-9999,141,-13
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20011201,762,-9999,79,-33
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020101,772,-9999,60,-51
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020201,516,-9999,77,-64
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020301,959,-9999,98,-24
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020401,707,-9999,166,32
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020501,1496,-9999,202,66
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020601,759,-9999,252,111
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020701,563,-9999,292,152
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020801,642,-9999,287,140
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20020901,1289,-9999,249,111
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20021001,830,-9999,152,20
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20021101,1425,-9999,96,-10
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20021201,1402,-9999,38,-64
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030101,510,-9999,-10,-99
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030201,891,-9999,5,-102
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030301,797,-9999,88,-40
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030401,1139,-9999,121,9
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030501,989,-9999,182,56
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030601,1299,-9999,235,124
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030701,898,-9999,281,159
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030801,1267,-9999,278,164
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20030901,708,-9999,233,105
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20031001,1483,-9999,159,23
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20031101,715,-9999,121,2
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20031201,1337,-9999,59,-48
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040101,296,-9999,-30,-113
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040201,402,-9999,46,-73
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040301,724,-9999,72,-36
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040401,2091,-9999,152,37
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040501,764,-9999,215,83
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040601,446,-9999,246,109
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040701,1045,-9999,262,151
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040801,1269,-9999,267,150
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20040901,1755,-9999,234,97
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20041001,541,-9999,161,47
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20041101,921,-9999,112,-19
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20041201,1111,-9999,58,-56
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050101,1058,-9999,10,-98
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050201,709,-9999,37,-90
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050301,1203,-9999,56,-60
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050401,1072,-9999,166,24
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050501,1751,-9999,161,59
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050601,299,-9999,272,139
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050701,829,-9999,280,155
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050801,1089,-9999,295,157
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20050901,738,-9999,251,101
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20051001,3157,-9999,164,76
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20051101,1072,-9999,131,-4
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20051201,775,-9999,36,-67
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060101,1310,-9999,68,-35
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060201,560,-9999,41,-67
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060301,72,-9999,94,-41
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060401,558,-9999,161,7
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060501,2013,-9999,191,83
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060601,2717,-9999,247,156
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060701,853,-9999,298,177
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060801,1006,-9999,268,135
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20060901,443,-9999,227,79
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20061001,1244,-9999,170,26
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20061101,1558,-9999,137,27
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20061201,487,-9999,89,-24
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070101,629,-9999,46,-55
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070201,506,-9999,12,-90
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070301,1269,-9999,87,-38
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070401,1813,-9999,124,20
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070501,876,-9999,221,73
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070601,784,-9999,256,126
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070701,827,-9999,284,151
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070801,151,-9999,284,131
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20070901,432,-9999,252,88
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20071001,636,-9999,202,58
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20071101,764,-9999,102,-29
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20071201,1235,-9999,34,-70
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080101,743,-9999,47,-67
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080201,1838,-9999,40,-54
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080301,1220,-9999,81,-27
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080401,592,-9999,159,9
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080501,451,-9999,193,50
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080601,481,-9999,265,123
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080701,1306,-9999,290,162
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080801,1058,-9999,258,129
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20080901,1855,-9999,226,101
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20081001,477,-9999,165,19
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20081101,1080,-9999,101,-10
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20081201,1551,-9999,64,-43
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090101,855,-9999,-8,-121
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090201,437,-9999,53,-70
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090301,556,-9999,82,-42
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090401,1071,-9999,162,29
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090501,923,-9999,207,80
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090601,1112,-9999,216,123
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090701,1783,-9999,257,142
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090801,784,-9999,280,157
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20090901,639,-9999,221,74
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20091001,1586,-9999,157,28
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20091101,1053,-9999,129,28
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20091201,1026,-9999,45,-58
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100101,745,-9999,21,-78
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100201,1009,-9999,36,-47
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100301,1796,-9999,87,-6
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100401,264,-9999,157,30
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100501,629,-9999,236,86
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100601,389,-9999,272,135
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100701,317,-9999,311,163
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100801,1334,-9999,288,139
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20100901,513,-9999,249,111
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20101001,1164,-9999,176,44
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20101101,972,-9999,106,-14
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20101201,285,-9999,30,-72
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110101,769,-9999,4,-118
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110201,912,-9999,37,-105
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110301,547,-9999,84,-22
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110401,1028,-9999,155,38
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110501,888,-9999,207,96
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110601,1107,-9999,249,125
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110701,526,-9999,303,159
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110801,1601,-9999,281,155
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20110901,1493,-9999,248,134
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20111001,1993,-9999,180,68
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20111101,1161,-9999,157,23
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20111201,909,-9999,93,-25
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120101,635,-9999,62,-47
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120201,204,-9999,81,-46
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120301,321,-9999,139,11
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120401,765,-9999,182,24
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120501,806,-9999,223,108
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120601,1055,-9999,251,121
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120701,849,-9999,300,162
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120801,1255,-9999,298,159
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20120901,880,-9999,238,99
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20121001,1009,-9999,191,63
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20121101,262,-9999,102,-17
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20121201,1291,-9999,74,-24
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130101,321,-9999,42,-64
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130201,820,-9999,34,-59
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130301,654,-9999,73,-17
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130401,397,-9999,156,22
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130501,921,-9999,222,68
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130601,2646,-9999,259,148
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130701,616,-9999,301,191
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130801,700,-9999,270,133
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20130901,881,-9999,233,85
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20131001,81,-9999,180,25
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20131101,827,-9999,106,-17
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20131201,886,-9999,46,-56
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140101,688,-9999,20,-98
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140201,815,-9999,20,-108
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140301,976,-9999,57,-63
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140401,777,-9999,143,28
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140501,637,-9999,210,71
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140601,427,-9999,264,111
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140701,1005,-9999,282,161
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140801,397,-9999,268,120
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20140901,140,-9999,243,84
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20141001,1927,-9999,180,54
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20141101,1274,-9999,102,-17
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20141201,1261,-9999,68,-15
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150101,466,-9999,8,-101
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150201,0,-9999,-25,-181
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150301,398,-9999,51,-62
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150401,230,-9999,146,22
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150501,287,-9999,247,81
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150601,761,-9999,240,106
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150701,632,-9999,289,150
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150801,685,-9999,289,147
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20150901,688,-9999,265,99
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20151001,540,-9999,169,24
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20151101,417,-9999,140,1
GHCND:USW00054704,NORWOOD MEMORIAL AIRPORT MA US,20151201,818,-9999,116,7
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20110701,442,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20110801,2666,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20110901,1187,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20111001,1255,89,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20111101,964,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20111201,856,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120101,728,64,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120201,26,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120301,287,66,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120401,124,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120501,580,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120601,206,-9999,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120701,699,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120801,836,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20120901,795,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20121001,1647,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20121101,150,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20121201,273,0,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20130101,201,74,-9999,-9999
GHCND:US1MAMD0021,NATICK 1.7 NNE MA US,20130201,8,648,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20090601,1136,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20090701,2259,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20090801,778,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20090901,422,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20091001,2096,8,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20091101,845,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20091201,1574,583,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100101,996,208,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20100201,1142,198,-9999,-9999
